Votes Profile,Сountries Сount,"Population, M","Country Share, %","Relative Population, %"
nnnnnn,4,67.8,2.1,0.9
nn0nnn,1,27.9,0.5,0.4
nnn1n1,1,37.5,0.5,0.5
00nn0n,1,1.7,0.5,0.0
11nnn1,1,0.2,0.5,0.0
1n11nn,1,0.1,0.5,0.0
nnn000,1,13.9,0.5,0.2
0000nn,1,65.5,0.5,0.8
0101nn,1,17.3,0.5,0.2
11n10n,1,5.5,0.5,0.1
11nn11,1,1.1,0.5,0.0
1nn111,1,17.6,0.5,0.2
n0000n,1,1.2,0.5,0.0
n0010n,1,2.1,0.5,0.0
00-1n-10,1,88.6,0.5,1.1
000n00,1,6.3,0.5,0.1
00n000,1,2.8,0.5,0.0
11110n,1,0.1,0.5,0.0
1111n1,2,99.1,1.0,1.3
11n101,2,18.5,1.0,0.2
11n111,4,75.2,2.1,0.9
1n1111,1,0.8,0.5,0.0
n0-10-10,1,123.4,0.5,1.6
n0-1000,1,34.6,0.5,0.4
n00010,1,8.8,0.5,0.1
-1-1-1-1-1-1,4,202.4,2.1,2.6
-1-1-10-1-1,1,3.7,0.5,0.0
00-1-1-1-1,1,7.0,0.5,0.1
00-10-1-1,1,22.6,0.5,0.3
00-10-10,4,1459.0,2.1,18.4
00-1000,9,217.7,4.7,2.7
000000,9,1867.8,4.7,23.6
000100,1,35.6,0.5,0.4
000101,1,29.6,0.5,0.4
010001,1,10.9,0.5,0.1
010100,1,171.2,0.5,2.2
010101,1,44.5,0.5,0.6
100101,2,3.0,1.0,0.0
11-1100,1,2.4,0.5,0.0
110001,2,74.0,1.0,0.9
110101,23,1018.1,11.9,12.8
110111,10,255.6,5.2,3.2
111001,1,10.4,0.5,0.1
1111-11,1,0.4,0.5,0.0
111101,10,48.9,5.2,0.6
111111,76,1724.7,39.4,21.8
